"DOC_DATE(DATE)","수집소스(SOURCE)","행정동(DONG_NM)","행정구(GU_NM)","세부키워드(KEYWORD_DETAIL)","FREQ(FREQ)"
"20180609","블로그커뮤니티","광화문","종로구","전시",1
"20180823","블로그커뮤니티","k현대미술관","종로구","전시",1
"20190410","블로그커뮤니티","서울","중구","예술품",1
"20170927","트위터","서울","금천구","전시회",1
"20190903","블로그커뮤니티","강남","종로구","전시",1
"20190219","블로그커뮤니티","북촌","종로구","전시",1
"20180109","블로그커뮤니티","뚝섬유원지","광진구","전시회",1
"20190416","블로그커뮤니티","국립중앙박물관","용산구","전시",1
"20170214","블로그커뮤니티","d타워","서초구","전시",1
"20180913","블로그커뮤니티","평창동","중구","전시회",1
"20180220","블로그커뮤니티","선유도","종로구","개인전",1
"20170116","블로그커뮤니티","예술의전당","종로구","개인전",1
"20180814","블로그커뮤니티","국립현대미술관","종로구","전시회",1
"20170315","블로그커뮤니티","용산","서울","전시",3
"20191231","블로그커뮤니티","서울역사박물관","서초구","전시",1
"20190318","블로그커뮤니티","명동","종로구","전시",1
"20170526","블로그커뮤니티","서울","관악구","전시",1
"20180418","블로그커뮤니티","코엑스","종로구","전시",3
"20170529","블로그커뮤니티","서울숲","중구","전시공간",1
"20181128","블로그커뮤니티","성북구","서초구","전시",1
"20181020","블로그커뮤니티","중앙박물관","중구","전시회",4
"20180928","블로그커뮤니티","상수","용산구","전시회",1
"20180618","블로그커뮤니티","서울시립미술관","영등포구","사진전",1
"20180624","블로그커뮤니티","합정","종로구","전시",1
"20181003","블로그커뮤니티","명동","종로구","예술품",1
"20170709","블로그커뮤니티","서울","중랑구","전시",1
"20190129","블로그커뮤니티","성수동","종로구","ddp전시",1
"20190619","블로그커뮤니티","용산","강남구","전시",1
"20190415","블로그커뮤니티","한가람미술관","서초구","전시회",2
"20180220","블로그커뮤니티","용산","마포구","도슨트",1
"20170927","블로그커뮤니티","은평구","동작구","전시회",1
"20171208","블로그커뮤니티","망원","서초구","전시회",1
"20191217","블로그커뮤니티","동대문디자인플라자","서울","전시회",9
"20190204","블로그커뮤니티","강남","용산구","전시",1
"20190425","블로그커뮤니티","혜화","마포구","전시",1
"20190816","블로그커뮤니티","경복궁","서울","명화",1
"20181125","블로그커뮤니티","강남역","종로구","전시",1
"20180203","블로그커뮤니티","동대문디자인플라자","종로구","전시회",1
"20190906","블로그커뮤니티","광화문","종로구","전시",3
"20170101","블로그커뮤니티","논현동","서초구","전시",2
"20180117","블로그커뮤니티","경복궁","영등포구","전시",1
"20170731","블로그커뮤니티","강남역","종로구","전시",1
"20170920","블로그커뮤니티","디뮤지엄","서울","전시",1
"20170113","블로그커뮤니티","국립중앙박물관","종로구","뒤샹전",1
"20170830","블로그커뮤니티","용산","용산구","전시",1
"20170930","블로그커뮤니티","용산","강남구","전시",2
"20180201","블로그커뮤니티","충정로","용산구","전시회",1
"20170804","블로그커뮤니티","용산역","성동구","명화",1
"20171231","블로그커뮤니티","경복궁역","서울","전시",1
"20190221","블로그커뮤니티","국립현대미술관","종로구","전시",1
"20191016","블로그커뮤니티","롯데뮤지엄","용산구","전시회",1
"20170206","블로그커뮤니티","예술의전당","동작구","전시회",1
"20180816","블로그커뮤니티","삼청동","서초구","전시",1
"20180614","블로그커뮤니티","한가람미술관","종로구","도슨트",1
"20191124","블로그커뮤니티","광흥창","종로구","전시",1
"20170823","블로그커뮤니티","연남동","서울","전시회",1
"20190318","블로그커뮤니티","종각","서초구","전시회",1
"20170118","블로그커뮤니티","성수동","종로구","전시회",2
"20171103","블로그커뮤니티","인사동","성동구","전시",1
"20180301","블로그커뮤니티","서울","종로구","전시",1
"20180626","블로그커뮤니티","경복궁","종로구","전시회",1
"20170814","블로그커뮤니티","코엑스","마포구","전시전",1
"20190101","블로그커뮤니티","서울시립미술관","종로구","전시회",2
"20181204","블로그커뮤니티","서울시립미술관","종로구","미술전",1
"20170320","블로그커뮤니티","마포","종로구","개인전",1
"20170204","블로그커뮤니티","서울","용산구","전시회",2
"20190731","블로그커뮤니티","한가람미술관","용산구","개인전",1
"20170416","블로그커뮤니티","신논현","서초구","명화",1
"20181205","블로그커뮤니티","동대문","종로구","전시",5
"20170908","트위터","신촌","마포구","전시",1
"20191217","블로그커뮤니티","광진구","종로구","전시회",1
"20181120","블로그커뮤니티","홍대","영등포구","전시",1
"20181221","블로그커뮤니티","익선동","송파구","예술품",1
"20190526","블로그커뮤니티","국립고궁박물관","종로구","전시회",1
"20170906","블로그커뮤니티","인사동","서초구","전시",1
"20190111","블로그커뮤니티","애오개","종로구","사진전",1
"20180630","블로그커뮤니티","국립중앙박물관","동대문구","ddp전시",1
"20181109","블로그커뮤니티","한남동","종로구","아트페어",1
"20190310","블로그커뮤니티","동대문디자인플라자","광진구","전시회",2
"20180608","블로그커뮤니티","논현동","용산구","전시회",1
"20190215","블로그커뮤니티","예술의전당","동작구","전시",1
"20180210","블로그커뮤니티","디뮤지엄","강남구","전시",1
"20190816","블로그커뮤니티","한가람미술관","종로구","전시",1
"20170226","블로그커뮤니티","국립현대미술관","종로구","전시회",2
"20170610","블로그커뮤니티","광화문","종로구","전시",1
"20191221","블로그커뮤니티","서울시립미술관","서초구","전시",1
"20180114","블로그커뮤니티","노원","용산구","전시",1
"20181019","블로그커뮤니티","중앙박물관","송파구","전시회",1
"20180503","블로그커뮤니티","국립한글박물관","도봉구","전시공간",1
"20171128","블로그커뮤니티","서울시립미술관","종로구","전시",1
"20180802","블로그커뮤니티","서초","마포구","전시",1
"20180523","블로그커뮤니티","이태원","서울","전시",1
"20180701","블로그커뮤니티","청계천","종로구","전시",1
"20171021","블로그커뮤니티","용산구","용산구","현대미술",1
"20170514","블로그커뮤니티","어린이미술관","서초구","전시",1
"20180304","블로그커뮤니티","서울미술관","송파구","전시",1
"20181204","블로그커뮤니티","신촌","강남구","전시회",1
"20181102","블로그커뮤니티","한강","용산구","전시",9
"20190820","블로그커뮤니티","익선동","서초구","전시회",1
"20180328","블로그커뮤니티","동대문역사문화공원","종로구","미술품",1
